feedback_id,source,date,user_id,feedback_text,sentiment
FB-001,Support Ticket,2024-06-05,user-639,I really appreciate the updated search feature! It's so much faster and more intuitive now.,Positive
FB-002,App Store Review,2024-08-10,user-661,"The app is decent, but I need more advanced filtering options to manage my tasks effectively.",Neutral
FB-003,Survey,2024-06-21,user-126,Automated backup features would be a great addition! I often worry about losing my data.,Positive
FB-004,Twitter Mention,2025-03-18,user-958,Just discovered the advanced reporting templates! They make my life so much easier.,Positive
FB-005,Support Ticket,2024-12-10,user-629,The mobile web interface is still a bit clunky. It needs some optimization for better usability.,Negative
FB-006,App Store Review,2024-04-04,user-610,I love the way the search feature works now! It has saved me hours of time.,Positive
FB-007,Survey,2025-02-22,user-309,It would be nice to have more customization options for the reporting templates.,Neutral
FB-008,Twitter Mention,2025-07-12,user-264,I'm really frustrated with the lack of automated backup features. I need to ensure my data is safe.,Negative
FB-009,Support Ticket,2024-09-15,user-650,Great job on improving the mobile experience! It's much more user-friendly now.,Positive
FB-010,App Store Review,2024-11-26,user-828,The reporting options are okay but could really use some advanced templates for better insights.,Neutral
FB-011,Survey,2024-05-23,user-784,"The search feature is fantastic, but the mobile interface could still use some tweaks.",Neutral
FB-012,Twitter Mention,2025-05-25,user-948,Can we get an option for advanced filtering? It would make project management way easier.,Neutral
FB-013,Support Ticket,2024-07-18,user-407,"The new dashboard is fantastic! However, automated backups would make me feel even more secure.",Positive
FB-014,App Store Review,2025-01-23,user-554,"Nice updates overall, but I find the reporting templates to be quite basic.",Negative
FB-015,Survey,2025-04-18,user-355,"The mobile version is improving, but I wish it had all the same features as the desktop.",Neutral
FB-016,Twitter Mention,2024-09-22,user-392,Loving the new search feature! Makes finding tasks so much quicker.,Positive
FB-017,Support Ticket,2024-02-14,user-708,I submitted a request for advanced filtering options but haven't heard back.,Negative
FB-018,App Store Review,2025-06-12,user-698,"This tool is great for project management, but I really miss the automated backup feature.",Negative
FB-019,Survey,2024-03-20,user-114,The advanced reporting templates could use some templates that cater to marketing teams.,Neutral
FB-020,Twitter Mention,2024-08-17,user-572,Just a suggestion: automated backups would be a game changer for many users!,Positive
FB-021,Support Ticket,2024-03-26,user-490,The mobile web interface crashes often and needs to be more stable.,Negative
FB-022,App Store Review,2025-06-03,user-894,"The app is solid, though the advanced filtering options could be more extensive.",Neutral
FB-023,Survey,2024-11-01,user-248,"It's nice to see improvements to the search feature, but I'm still waiting on better reporting tools.",Neutral
FB-024,Twitter Mention,2024-10-25,user-650,The current reporting templates aren’t very insightful. Can we have more advanced options?,Negative
FB-025,Support Ticket,2025-05-07,user-900,I really like the quick search function! It's one of my favorite updates.,Positive
FB-026,App Store Review,2024-12-17,user-410,"While the app is functional, I’d love to see automated backups to protect my projects.",Negative
FB-027,Survey,2024-08-05,user-347,The updated mobile web interface is a big improvement over the previous version.,Positive
FB-028,Twitter Mention,2024-01-17,user-721,Thanks for the improved search feature! It's much easier to navigate now.,Positive
FB-029,Support Ticket,2024-04-04,user-822,The lack of advanced filtering options is frustrating. It makes tracking tasks harder.,Negative
FB-030,App Store Review,2025-02-21,user-429,Really enjoying the new search capabilities. Makes my workflow a lot smoother.,Positive
FB-031,Survey,2025-05-08,user-727,"I think the app needs better reporting features, especially for larger teams.",Neutral
FB-032,Twitter Mention,2024-04-20,user-276,Can we have a dark mode for the mobile app? It would really help.,Neutral
FB-033,Support Ticket,2025-02-26,user-148,"I appreciate the faster search, but missing reports makes it hard to analyze progress.",Negative
FB-034,App Store Review,2024-04-09,user-145,The new reporting templates are great! Just need more variety for data presentation.,Positive
FB-035,Survey,2024-04-27,user-954,"The mobile interface is better, but I still find some features hard to access.",Neutral
FB-036,Twitter Mention,2024-01-31,user-646,I wish I could auto-backup my projects. It's a bit nerve-wracking not having that option.,Negative
FB-037,Support Ticket,2025-01-19,user-408,The new advanced reporting options have helped me in my presentations! Thank you!,Positive
FB-038,App Store Review,2024-06-19,user-404,"The search feature is a big plus, but more filtering options are needed to refine results.",Neutral
FB-039,Survey,2024-06-19,user-582,"Overall, it's a decent tool, but the mobile version lacks some essential features.",Neutral
FB-040,Twitter Mention,2024-05-10,user-430,Just wanted to say the new search feature is awesome! So fast and effective.,Positive
FB-041,Support Ticket,2024-11-04,user-247,I really need automated backups! It's a must-have for serious project management.,Negative
FB-042,App Store Review,2024-09-11,user-734,Happy with the updates! Just need more advanced reporting templates to satisfy my needs.,Neutral
FB-043,Survey,2024-01-04,user-240,The app could really benefit from better mobile optimization.,Neutral
FB-044,Twitter Mention,2024-01-12,user-296,"Wow, the search function has improved significantly! Makes life so much easier.",Positive
FB-045,Support Ticket,2024-10-06,user-360,The filters available are too basic. I need to narrow down search results more effectively.,Negative
FB-046,App Store Review,2024-08-04,user-104,The improved reporting features are fantastic! Super helpful for tracking progress.,Positive
FB-047,Survey,2025-05-01,user-431,"I think the mobile interface is okay, but it could use more features from the desktop version.",Neutral
FB-048,Twitter Mention,2025-04-13,user-394,I’ve been waiting for a dark mode forever! Hope it comes soon.,Neutral
FB-049,Support Ticket,2025-05-16,user-596,"The new dashboard is clear, but I find the reporting options limited.",Neutral
FB-050,App Store Review,2024-12-07,user-581,I love that the search feature is faster! It really enhances my productivity.,Positive
FB-051,Survey,2024-08-18,user-867,It would be awesome to have more automated backup options to protect our data.,Positive
FB-052,Twitter Mention,2024-03-10,user-278,"The app is fairly good, but I'm disappointed with the mobile interface's performance.",Negative
FB-053,Support Ticket,2025-07-02,user-771,Please consider adding advanced filtering options; it would help a lot!,Neutral
FB-054,App Store Review,2024-04-02,user-514,"Great functionality overall, but I still miss the automated backup feature.",Negative
FB-055,Survey,2024-10-24,user-185,The new search feature is a lifesaver! I can find what I need quickly now.,Positive
FB-056,Twitter Mention,2024-06-01,user-891,Can we get some advanced reporting templates? They would look more professional.,Neutral
FB-057,Support Ticket,2024-06-14,user-988,The mobile app needs more features that are available on the desktop version.,Negative
FB-058,App Store Review,2024-01-19,user-894,"I like the improved search feature, but the reporting templates are too basic.",Neutral
FB-059,Survey,2025-05-24,user-300,Automated backups would definitely ease my worries about data loss.,Positive
FB-060,Twitter Mention,2024-10-25,user-871,The search function is so much better now! Kudos to the team.,Positive
FB-061,Support Ticket,2024-05-11,user-138,I'm really hoping you add advanced filtering soon; it would be a huge help.,Neutral
FB-062,App Store Review,2025-01-27,user-325,"Overall, this is a good tool, but I need more from the reporting side.",Neutral
FB-063,Survey,2024-02-03,user-488,"The mobile web interface is decent, but needs some more functionality.",Neutral
FB-064,Twitter Mention,2024-09-23,user-458,What happened to the backup feature? It was really useful before.,Negative
FB-065,Support Ticket,2024-09-21,user-174,The improved search is a game changer! I can actually find my tasks.,Positive
FB-066,App Store Review,2024-08-21,user-564,Loving the new design! Just wish the reporting options were more advanced.,Neutral
FB-067,Survey,2024-10-31,user-606,The app is solid; just need better mobile optimization for easier access.,Neutral
FB-068,Twitter Mention,2024-12-08,user-155,The search feature is on point! Thank you for the improvement!,Positive
FB-069,Support Ticket,2024-05-29,user-866,The lack of automated backup is concerning. Please implement this feature soon.,Negative
FB-070,App Store Review,2025-03-13,user-247,Great updates! More advanced reporting templates would be the cherry on top.,Neutral
FB-071,Survey,2024-12-04,user-559,"The mobile web interface is getting better, but it's still not perfect.",Neutral
FB-072,Twitter Mention,2024-08-06,user-173,Just tried out the improved search feature – it’s fantastic!,Positive
FB-073,Support Ticket,2024-10-17,user-849,I can't believe there are no advanced filtering options. It's quite limiting.,Negative
FB-074,App Store Review,2025-07-03,user-790,"Pretty good overall, but the mobile version needs some serious work.",Negative
FB-075,Survey,2025-04-30,user-230,"I appreciate the updates, but I still feel like we need more reporting tools.",Neutral
FB-076,Twitter Mention,2024-04-25,user-860,The new search function is awesome! Makes everything so much easier to manage.,Positive
FB-077,Support Ticket,2025-02-28,user-217,Can you please prioritize the automated backup feature? It's essential for us.,Negative
FB-078,App Store Review,2025-03-28,user-550,"Happy with the search improvement, but the reporting templates need to be enhanced.",Neutral
FB-079,Survey,2024-11-19,user-702,"The mobile interface is an improvement, but still has a way to go.",Neutral
FB-080,Twitter Mention,2025-07-19,user-779,Just a thought: advanced filtering options would help a ton with project tracking.,Neutral
FB-081,Support Ticket,2024-06-04,user-407,I'm very satisfied with the upgraded search feature! It makes finding tasks easier.,Positive
FB-082,App Store Review,2024-09-18,user-486,"I like the changes, but I’m still not seeing the reporting features I need.",Neutral
FB-083,Survey,2024-04-20,user-601,Automated backups would bring me peace of mind when using this app.,Positive
FB-084,Twitter Mention,2025-06-14,user-776,The new search feature is a highlight for me! Keep up the good work!,Positive
FB-085,Support Ticket,2025-05-09,user-208,The app needs better reporting features for larger teams; it's currently lacking.,Negative
FB-086,App Store Review,2025-01-15,user-209,The mobile web interface is improving! Just wish it was a bit quicker.,Neutral
FB-087,Survey,2025-05-19,user-722,"I love the new dashboard, but still need better filtering options.",Neutral
FB-088,Twitter Mention,2024-01-02,user-581,The search feature is finally usable! What a relief!,Positive
FB-089,Support Ticket,2024-09-23,user-668,Please consider adding auto-backup; it’s a critical feature that’s missing.,Negative
FB-090,App Store Review,2024-07-23,user-531,I think the improved search makes a big difference! Well done.,Positive
FB-091,Survey,2025-07-21,user-352,"The app has potential, but advanced reporting tools are necessary.",Neutral
FB-092,Twitter Mention,2024-09-06,user-906,I’d love to see a dark mode option; it would really help in low-light environments.,Neutral
